"Subject_Id","Group_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"5932","car_h","CAR","HUMAN","swerve","swerve","sidewalk","2v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","stay","swerve","sidewalk","3v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","stay","stay","road","1v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","","","","","","","germany","10+","18-29","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","road","1v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","stay","swerve","sidewalk","2v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","swerve","stay","sidewalk","1v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","3v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","sidewalk","4v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","swerve","swerve","road","2v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","4v1","","","","yes","2","female","car"
"4224","ped_side_h","PED_SIDE","HUMAN","stay","swerve","sidewalk","3v1","","","","yes","2","female","car"
"5461","car_av","CAR","AV","swerve","swerve","road","1v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","swerve","swerve","road","4v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","swerve","swerve","sidewalk","2v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","road","2v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","sidewalk","1v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","swerve","swerve","sidewalk","3v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","carsac","4v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","carsac","1v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","carsac","2v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","stay","swerve","carsac","3v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","swerve","swerve","road","3v1","germany","6-10","18-29","yes","5","male","car"
"5461","car_av","CAR","AV","swerve","swerve","sidewalk","4v1","germany","6-10","18-29","yes","5","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","stay","carsac","2v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","stay","sidewalk","3v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","stay","road","1v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","stay","sidewalk","4v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","stay","carsac","1v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","stay","sidewalk","2v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","carsac","4v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","road","2v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","road","4v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","stay","sidewalk","1v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","3v1","spain","10+","30-39","yes","2","male","car"
"5465","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","3v1","spain","10+","30-39","yes","2","male","car"
"5726","car_h","CAR","HUMAN","swerve","swerve","sidewalk","4v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","swerve","carsac","2v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","stay","road","1v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","swerve","stay","sidewalk","1v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","swerve","swerve","sidewalk","3v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","swerve","sidewalk","2v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","stay","carsac","1v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","swerve","road","2v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","swerve","swerve","road","3v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","swerve","swerve","road","4v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","stay","swerve","carsac","3v1","armenia","5","18-29","yes","5","male","ped"
"5726","car_h","CAR","HUMAN","swerve","swerve","carsac","4v1","armenia","5","18-29","yes","5","male","ped"
"5727","car_av","CAR","AV","stay","stay","road","1v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","swerve","carsac","4v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","swerve","carsac","3v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","stay","swerve","road","3v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","stay","swerve","road","2v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","stay","swerve","road","4v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","swerve","carsac","1v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","stay","swerve","carsac","2v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","swerve","sidewalk","2v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","stay","swerve","sidewalk","3v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","stay","sidewalk","1v1","germany","10+","18-29","yes","4","male","car"
"5727","car_av","CAR","AV","swerve","swerve","sidewalk","4v1","germany","10+","18-29","yes","4","male","car"
"5579","ped_side_h","PED_SIDE","HUMAN","stay","swerve","road","3v1","sweden","10+","40-49","yes","1","female","car"
