"","Participant ID","Gender","AV/Car","Perspective","Scenario","Number of Children","Number of Adults 1","Number of Adults 2","Left First?","Selected Option","Difficulty of decision","Response time 1","Response time 2"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.508","62073245","False","True","3","3","0","2","0","True","Links","51","10.32123","8.175842"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.509","62073245","False","True","3","0","1","1","3","False","Links","39","10.61908","7.844482"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.510","62073245","False","True","3","1","0","1","2","True","Rechts","64","7.201782","3.398804"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.511","62073245","False","True","3","2","0","2","0","False","Rechts","32","13.50275","5.687378"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.512","62073245","False","True","3","0","2","1","5","True","Links","13","10.34802","2.698242"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.513","274820400","False","False","1","0","0","1","5","True","Rechts","100","4.345932","2.523342"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.514","274820400","False","False","1","0","0","0","1","False","Rechts","100","2.777695","2.661942"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.515","274820400","False","False","1","0","2","1","5","True","Rechts","77","4.619019","3.501373"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.516","274820400","False","False","1","1","0","2","4","False","Rechts","100","4.605515","1.90657"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.517","274820400","False","False","1","1","0","1","2","True","Rechts","100","3.785217","1.587402"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.518","274820400","False","False","1","2","0","2","0","False","Links","100","4.394409","4.039307"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.519","274820400","False","False","1","3","0","2","0","True","Links","82","4.133972","3.807648"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.520","274820400","False","False","1","0","1","1","3","False","Rechts","100","2.524353","1.563324"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.521","505935955","False","True","2","0","0","1","5","True","Links","85","13.21286","6.512848"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.522","505935955","False","True","2","0","0","0","1","False","Links","100","9.024445","1.486511"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.523","505935955","False","True","2","1","0","1","2","True","Links","37","5.026337","3.239136"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.524","505935955","False","True","2","0","1","1","3","False","Rechts","15","7.735352","3.914673"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.525","505935955","False","True","2","0","2","1","5","True","Rechts","35","6.695068","1.48114"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.526","505935955","False","True","2","1","0","2","4","False","Links","36","4.055908","1.349976"
