"Subject_Id","Group_Name","Task_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","2v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","carsac","4v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","2v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","road","3v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","stay","road","1v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","road","4v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","road","2v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","stay","sidewalk","1v1","","","","","","",""
"3830","ped_main_av","quesionnaire_av","PED_MAIN","AV","","","","","germany","6-10","18-29","yes","2","female","car"
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","carsac","2v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","road","4v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","road","2v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","stay","sidewalk","1v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","stay","road","1v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","carsac","1v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","carsac","4v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","sidewalk","3v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","sidewalk","2v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","road","3v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","swerve","swerve","sidewalk","4v1","","","","","","",""
"3832","obs_h","obs_h_exp_trials","OBS","HUMAN","stay","swerve","carsac","3v1","","","","","","",""
"3832","obs_h","questionnaire_h","OBS","HUMAN","","","","","","","","yes","2","male","car"
