"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","confidence","trial","decision"
"KPR03","False","True","Passenger","True","Computer (AV)","Mitfahrer","76","mountain","hitPedestrians"
"EHA05","True","False","Passenger","True","Mensch","Mitfahrer","100","mountain","hitPedestrians"
"EHA05","True","False","Passenger","True","Mensch","Mitfahrer","100","cityR","hitPedestrians"
"NAM09","True","False","PedLarge","True","Mensch","Beobachter","100","mountain","hitPedestrians"
"NAM09","True","False","PedLarge","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","27","mountain","selfSacrifice"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","30","cityR","selfSacrifice"
"CSI05","True","True","Observer","True","Computer (AV)","Beobachter","66","cityR","hitPedestrians"
"CSI05","True","True","Observer","True","Computer (AV)","Beobachter","86","mountain","hitPedestrians"
"ERO06","False","False","Observer","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"ERO06","False","False","Observer","True","Computer (AV)","Beobachter","32","mountain","hitPedestrians"
"MNL02","False","True","PedSmall","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"MNL02","False","True","PedSmall","True","Computer (AV)","Beobachter","78","mountain","selfSacrifice"
"AGO07","True","True","Observer","True","Mensch","Mitfahrer","58","mountain","selfSacrifice"
"AGO07","True","True","Observer","True","Mensch","Mitfahrer","60","cityR","selfSacrifice"
"HRH29","True","False","Observer","True","Computer (AV)","Mitfahrer","34","cityR","selfSacrifice"
"HRH29","True","False","Observer","True","Computer (AV)","Mitfahrer","91","mountain","selfSacrifice"
"KSH02","True","True","PedLarge","True","Mensch","Fußgänger","29","cityR","hitPedestrians"
